#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
91,Ethiopia,"479,484",,"7,517 ",,"456,866",,"15,101",35,"3,979",62,"4,988,019","41,395","120,499,230 ",Africa,"25116,03024",,,125
92,Honduras,"425,655",,"10,902 ",,"132,430",,"282,323",105,"41,686","1,068","1,387,113","135,847","10,210,881 ",North America,249377,,,"27,649"
93,Armenia,"423,006",,"8,629 ",,"412,661",,"1,716",,"142,234","2,901","3,109,931","1,045,703","2,974,010 ",Asia,73451,,,577
94,Réunion,"418,585",,796 ,,"415,360",,"2,429",10,"461,131",877,"1,603,660","1,766,661","907,735 ",Africa,"21,1401",,,"2,676"
95,Oman,"389,758",,"4,260 ",,"384,669",,829,2,"72,728",795,"25,000,000","4,664,971","5,359,090 ",Asia,"141,2580",,,155
96,Bosnia and Herzegovina,"378,112",,"15,793 ",,N/A,N/A,N/A,,"116,660","4,873","1,782,950","550,096","3,241,159 ",Europe,92052,,,"52,482"
97,Qatar,"372,704",,677 ,,"369,363",,"2,664",,"132,739",241,"3,590,034","1,278,591","2,807,805 ",Asia,"84,1471",,,949
98,Kenya,"327,145",,"5,651 ",,"319,669",,"1,825",,"5,834",101,"3,703,840","66,053","56,073,862 ",Africa,"1719,92315",,,33
99,Zambia,"323,283",,"3,989 ",,"318,247",,"1,047",,"16,677",206,"3,507,848","180,959","19,384,745 ",Africa,"604,8606",,,54
100,North Macedonia,"312,607",,"9,316 ",,"302,892",,399,,"150,060","4,472","2,057,112","987,473","2,083,208 ",Europe,72241,,,192
101,Botswana,"310,431",,"2,701 ",,"304,887",,"2,843",1,"127,021","1,105","2,026,898","829,358","2,443,936 ",Africa,89051,,,"1,163"
102,Albania,"276,731",,"3,497 ",,"272,893",,341,2,"96,365","1,218","1,835,130","639,042","2,871,689 ",Europe,108212,,,119
103,Algeria,"265,937",,"6,875 ",,"178,442",,"80,620",6,"5,859",151,"230,861","5,086","45,390,507 ",Africa,"1716,602197",,,"1,776"
104,Nigeria,"256,352",,"3,144 ",,"250,131",,"3,077",11,"1,186",15,"5,198,572","24,060","216,071,476 ",Africa,"84368,72542",,,14
105,Zimbabwe,"254,155",,"5,521 ",,"246,556",,"2,078",12,"16,629",361,"2,361,244","154,495","15,283,591 ",Africa,"602,7686",,,136
106,Luxembourg,"251,873",,"1,084 ",,"245,443",,"5,346",,"390,030","1,679","4,275,297","6,620,382","645,778 ",Europe,35960,,,"8,278"
107,Uzbekistan,"239,272",,"1,637 ",,"237,441",,194,23,"6,953",48,"1,377,915","40,041","34,412,290 ",Asia,"14421,02225",,,6
108,Montenegro,"237,945",,"2,722 ",,"234,768",,455,6,"378,760","4,333","2,485,184","3,955,907","628,221 ",Europe,32310,,,724
109,Mozambique,"226,481",,"2,206  ",,"223,783",,492,13,"6,872",67,"1,335,374","40,518","32,957,580 ",Africa,"14614,94025",,,15
110,Laos,"210,158",,757 ,,N/A,N/A,N/A,,"28,093",101,"1,233,207","164,849","7,480,827 ",Asia,"369,8826",,,"26,968"
111,Kyrgyzstan,"200,993",,"2,991 ",,"196,406",,"1,596",131,"29,850",444,"1,907,195","283,241","6,733,469 ",Asia,"342,2514",,,237
112,Iceland,"190,014",,153 ,,N/A,N/A,N/A,1,"549,890",443,"1,958,282","5,667,162","345,549 ",Europe,"22,2580",,,"330,419"
113,Martinique,"182,791",,943 ,,104,,"181,744",8,"487,834","2,517","828,928","2,212,250","374,699 ",North America,23970,,,"485,040"
114,Afghanistan,"180,864",,"7,709 ",,"163,215",,"9,940","1,124","4,451",190,"971,529","23,910","40,632,673 ",Asia,"2255,27142",,,245
115,Maldives,"179,979",,299 ,,"163,687",,"15,993",25,"321,935",535,"2,213,831","3,959,966","559,053 ",Asia,"31,8700",,,"28,607"
116,Namibia,"168,448",,"4,049 ",,"162,463",,"1,936",,"64,040","1,539","1,050,977","399,555","2,630,367 ",Africa,166503,,,736
