,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,,,
53,45,Hungary,"1,921,486",,"46,571 ",,"1,853,094",,"21,821",8,"199,891","4,845","11,394,556","1,185,368","9,612,671 ",Europe,52061,,,"2,270",,,,,
54,46,Slovakia,"1,791,220",,"20,116 ",,"1,769,349",,"1,755",17,"327,775","3,681","7,159,130","1,310,048","5,464,783 ",Europe,32721,,,321,,,,,
55,47,Jordan,"1,697,271",,"14,068 ",,"1,682,962",,241,124,"163,198","1,353","16,834,239","1,618,665","10,400,076 ",Asia,67391,,,23,,,,,
56,48,Georgia,"1,658,240",,"16,826 ",,"1,637,293",,"4,121",,"417,243","4,234","16,920,079","4,257,392","3,974,283 ",Asia,22360,,,"1,037",,,,,
57,49,Ireland,"1,570,519",,"7,383 ",,"1,547,727",,"15,409",22,"311,300","1,463","12,293,825","2,436,820","5,045,028 ",Europe,36830,,,"3,054",,,,,
58,50,Pakistan,"1,531,271",,"30,381 ",,"1,496,123",,"4,767",50,"6,680",133,"28,750,229","125,420","229,230,939 ",Asia,"1507,5458",,,21,,,,,
59,51,Norway,"1,437,343",,"3,210 ",,"1,429,621",,"4,512",20,"261,161",583,"11,002,430","1,999,111","5,503,661 ",Europe,"41,7151",,,820,,,,,
60,52,Singapore,"1,343,645",,"1,398 ",,"1,263,653",,"78,594",3,"226,210",235,"23,877,882","4,019,980","5,939,801 ",Asia,"44,2490",,,"13,232",,,,,
61,53,Kazakhstan,"1,305,867",,"13,663 ",,"1,292,109",,95,24,"67,966",711,"11,575,012","602,445","19,213,392 ",Asia,"151,4062",,,5,,,,,
62,54,New Zealand,"1,248,852","+6,355","1,286 ",+19,"1,205,144","+5,878","42,422",,"249,666",257,"71,423,774","14,278,758","5,002,100 ",Australia/Oceania,"43,8900","1,270",4,"8,481",,,,,
63,55,Hong Kong,"1,219,912",,"9,390 ",,"1,197,195",,"13,327",5,"160,194","1,233","49,428,776","6,490,771","7,615,239 ",Asia,68110,,,"1,750",,,,,
